Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Analysis and performance assessment of the whole genome bisulfite sequencing data workflow: currently available tools and a practical guide to advance DNA methylation studies","This review compares whole-genome bisulfite sequencing (WGBS) methodology with accessible analysis tools, providing a practical guide for advancing DNA methylation studies through a comprehensive case study.","Ting Gong, Heather Borgard, Zao Zhang, Shaoqiu Chen, Zitong Gao, Youping Deng",2022,51,"DNA methylation is associated with transcriptional repression, genomic imprinting, stem cell differentiation, embryonic development, and inflammation. Aberrant DNA methylation can indicate disease states, including cancer and neurological disorders. Therefore, the prevalence and location of 5-methylcytosine in the human genome is a topic of interest. Whole-genome bisulfite sequencing (WGBS) is a high-throughput method for analyzing DNA methylation. This technique involves library preparation, alignment, and quality control. Advancements in epigenetic technology have led to an increase in DNA methylation studies. This review compares the detailed experimental methodology of WGBS using accessible and up-to-date analysis tools. Practical codes for WGBS data processing are included as a general guide to assist progress in DNA methylation studies through a comprehensive case study.

© 2022 Wiley-VCH GmbH.","literature review","Small methods","1","10.1002/smtd.202101251","https://consensus.app/papers/analysis-and-performance-assessment-of-the-whole-genome-gong-borgard/5e9ac45759435809949f7288230fa378/"
"DMAP2: A Pipeline for Analysis of Whole‐Genome‐Scale DNA Methylation Sequencing Data","The DMAP2 pipeline is an efficient, fast, and flexible tool for analyzing whole-genome-scale DNA methylation sequencing data in various biological and clinical contexts.","P. Stockwell, E. Rodger, G. Gimenez, I. Morison, Aniruddha Chatterjee",2024,2,"DNA methylation is well-established as a major epigenetic mechanism that can control gene expression and is involved in both normal development and disease. Analysis of high-throughput-sequencing-based DNA methylation data is a step toward understanding the relationship between disease and phenotype. Analysis of CpG methylation at single-base resolution is routinely done by bisulfite sequencing, in which methylated Cs remain as C while unmethylated Cs are converted to U, subsequently seen as T nucleotides. Sequence reads are aligned to the reference genome using mapping tools that accept the C-T ambiguity. Then, various statistical packages are used to identify differences in methylation between (groups of) samples. We have previously developed the Differential Methylation Analysis Pipeline (DMAP) as an efficient, fast, and flexible tool for this work, both for whole-genome bisulfite sequencing (WGBS) and reduced-representation bisulfite sequencing (RRBS). The protocol described here includes a series of scripts that simplify the use of DMAP tools and that can accommodate the wider range of input formats now in use to perform analysis of whole-genome-scale DNA methylation sequencing data in various biological and clinical contexts. © 2024 The Author(s). Current Protocols published by Wiley Periodicals LLC. Basic Protocol: DMAP2 workflow for whole-genome bisulfite sequencing (WGBS) and reduced-representation bisulfite sequencing (RRBS).

© 2024 The Author(s). Current Protocols published by Wiley Periodicals LLC.","other","Current Protocols","1","10.1002/cpz1.70003","https://consensus.app/papers/dmap2-a-pipeline-for-analysis-of-wholegenomescale-dna-stockwell-rodger/189d7bf7cc135c889281e667a1fde83b/"
"Beyond the base pairs: comparative genome-wide DNA methylation profiling across sequencing technologies","The NovaSeq platform outperforms the DNBSEQ platform in whole-genome bisulfite sequencing, with better raw read quality and sequencing depth, but less coverage uniformity in GC-rich regions.","Xin Liu, Yu Pang, Junqi Shan, Yunfei Wang, Yanhua Zheng, Yuhang Xue, Xuerong Zhou, Wenjun Wang, Yanlai Sun, Xiaojing Yan, Jiantao Shi, Xiaoxue Wang, Hongcang Gu, Fan Zhang",2024,9,"Deoxyribonucleic acid (DNA) methylation plays a key role in gene regulation and is critical for development and human disease. Techniques such as whole-genome bisulfite sequencing (WGBS) and reduced representation bisulfite sequencing (RRBS) allow DNA methylation analysis at the genome scale, with Illumina NovaSeq 6000 and MGI Tech DNBSEQ-T7 being popular due to their efficiency and affordability. However, detailed comparative studies of their performance are not available. In this study, we constructed 60 WGBS and RRBS libraries for two platforms using different types of clinical samples and generated approximately 2.8 terabases of sequencing data. We systematically compared quality control metrics, genomic coverage, CpG methylation levels, intra- and interplatform correlations, and performance in detecting differentially methylated positions. Our results revealed that the DNBSEQ platform exhibited better raw read quality, although base quality recalibration indicated potential overestimation of base quality. The DNBSEQ platform also showed lower sequencing depth and less coverage uniformity in GC-rich regions than did the NovaSeq platform and tended to enrich methylated regions. Overall, both platforms demonstrated robust intra- and interplatform reproducibility for RRBS and WGBS, with NovaSeq performing better for WGBS, highlighting the importance of considering these factors when selecting a platform for bisulfite sequencing.

© The Author(s) 2024. Published by Oxford University Press.","other","Briefings in Bioinformatics","1","10.1093/bib/bbae440","https://consensus.app/papers/beyond-the-base-pairs-comparative-genomewide-dna-liu-pang/c82f03d136d5525a923c7baf2f3a11b2/"
"Comparison of whole-genome bisulfite sequencing library preparation strategies identifies sources of biases affecting DNA methylation data","Amplification-free library preparation is the least biased approach for whole-genome bisulfite sequencing, with bisulfite conversion and PCR amplification causing sequencing biases.","Nelly N Olova, Felix Krueger, S. Andrews, David Oxley, Rebecca V Berrens, M. Branco, W. Reik",2017,263,"Background: Whole-genome bisulfite sequencing (WGBS) is becoming an increasingly accessible technique, used widely for both fundamental and disease-oriented research. Library preparation methods benefit from a variety of available kits, polymerases and bisulfite conversion protocols. Although some steps in the procedure, such as PCR amplification, are known to introduce biases, a systematic evaluation of biases in WGBS strategies is missing.

Results: We perform a comparative analysis of several commonly used pre- and post-bisulfite WGBS library preparation protocols for their performance and quality of sequencing outputs. Our results show that bisulfite conversion per se is the main trigger of pronounced sequencing biases, and PCR amplification builds on these underlying artefacts. The majority of standard library preparation methods yield a significantly biased sequence output and overestimate global methylation. Importantly, both absolute and relative methylation levels at specific genomic regions vary substantially between methods, with clear implications for DNA methylation studies.

Conclusions: We show that amplification-free library preparation is the least biased approach for WGBS. In protocols with amplification, the choice of bisulfite conversion protocol or polymerase can significantly minimize artefacts. To aid with the quality assessment of existing WGBS datasets, we have integrated a bias diagnostic tool in the Bismark package and offer several approaches for consideration during the preparation and analysis of WGBS datasets.","other","Genome Biology","1","10.1186/s13059-018-1408-2","https://consensus.app/papers/comparison-of-wholegenome-bisulfite-sequencing-library-olova-krueger/22da13c37d185f68b37dd550e41b316e/"
"Systematic and benchmarking studies of pipelines for mammal WGBS data in the novel NGS platform","GenoLab M is a qualified NGS platform for whole genome bisulfite sequencing, with BSMAP being the suitable pipeline for WGBS studies on the GenoLab M platform.","Qun-ting Lin, Wei Yang, Xin Zhang, Qi-gang Li, Yong-feng Liu, Qin Yan, Lei Sun",2023,6,"Background: Whole genome bisulfite sequencing (WGBS), possesses the aptitude to dissect methylation status at the nucleotide-level resolution of 5-methylcytosine (5-mC) on a genome-wide scale. It is a powerful technique for epigenome in various cell types, and tissues. As a recently established next-generation sequencing (NGS) platform, GenoLab M is a promising alternative platform. However, its comprehensive evaluation for WGBS has not been reported. We sequenced two bisulfite-converted mammal DNA in this research using our GenoLab M and NovaSeq 6000, respectively. Then, we systematically compared those data via four widely used WGBS tools (BSMAP, Bismark, BatMeth2, BS-Seeker2) and a new bisulfite-seq tool (BSBolt). We interrogated their computational time, genome depth and coverage, and evaluated their percentage of methylated Cs.

Result: Here, benchmarking a combination of pre- and post-processing methods, we found that trimming improved the performance of mapping efficiency in eight datasets. The data from two platforms uncovered ~ 80% of CpG sites genome-wide in the human cell line. Those data sequenced by GenoLab M achieved a far lower proportion of duplicates (~ 5.5%). Among pipelines, BSMAP provided an intriguing representation of 5-mC distribution at CpG sites with 5-mC levels > ~ 78% in datasets from human cell lines, especially in the GenoLab M. BSMAP performed more advantages in running time, uniquely mapped reads percentages, genomic coverage, and quantitative accuracy. Finally, compared with the previous methylation pattern of human cell line and mouse tissue, we confirmed that the data from GenoLab M performed similar consistency and accuracy in methylation levels of CpG sites with that from NovaSeq 6000.

Conclusion: Together we confirmed that GenoLab M was a qualified NGS platform for WGBS with high performance. Our results showed that BSMAP was the suitable pipeline that allowed for WGBS studies on the GenoLab M platform.

© 2023. The Author(s).","bench experiment","BMC Bioinformatics","1","10.1186/s12859-023-05163-w","https://consensus.app/papers/systematic-and-benchmarking-studies-of-pipelines-for-lin-yang/1cc649fbcb155dd3bf77708f73d3fd03/"
"Evaluation of preprocessing, mapping and postprocessing algorithms for analyzing whole genome bisulfite sequencing data","Bismark and LAST are the most robust mapping algorithms for whole genome bisulfite sequencing data, and paired-end sequencing reduces error rate and enhances sensitivity for both read mapping and methylation level estimation.","J. Tsuji, Z. Weng",2015,28,"Cytosine methylation regulates many biological processes such as gene expression, chromatin structure and chromosome stability. The whole genome bisulfite sequencing (WGBS) technique measures the methylation level at each cytosine throughout the genome. There are an increasing number of publicly available pipelines for analyzing WGBS data, reflecting many choices of read mapping algorithms as well as preprocessing and postprocessing methods. We simulated single-end and paired-end reads based on three experimental data sets, and comprehensively evaluated 192 combinations of three preprocessing, five postprocessing and five widely used read mapping algorithms. We also compared paired-end data with single-end data at the same sequencing depth for performance of read mapping and methylation level estimation. Bismark and LAST were the most robust mapping algorithms. We found that Mott trimming and quality filtering individually improved the performance of both read mapping and methylation level estimation, but combining them did not lead to further improvement. Furthermore, we confirmed that paired-end sequencing reduced error rate and enhanced sensitivity for both read mapping and methylation level estimation, especially for short reads and in repetitive regions of the human genome.

© The Author 2015. Published by Oxford University Press. For Permissions, please email: journals.permissions@oup.com.","theoretical, modeling, or simulation study","Briefings in bioinformatics","1","10.1093/bib/bbv103","https://consensus.app/papers/evaluation-of-preprocessing-mapping-and-postprocessing-tsuji-weng/5a92417ce54658129e04c9c8f882a091/"
"Benchmarking DNA methylation analysis of 14 alignment algorithms for whole genome bisulfite sequencing in mammals","BSMAP is the most accurate alignment algorithm for whole genome bisulfite sequencing in mammals, providing valuable information for improving DNA methylation detection accuracy.","Wen Gong, Xiangchun Pan, D. Xu, G. Ji, Yifei Wang, Yuhan Tian, Jiali Cai, Jiaqi Li, Zhe Zhang, Xiaolong Yuan",2022,18,"","theoretical, modeling, or simulation study","Computational and Structural Biotechnology Journal","1","10.1016/j.csbj.2022.08.051","https://consensus.app/papers/benchmarking-dna-methylation-analysis-of-14-alignment-gong-pan/3e216d2d905e50ef99176b790a209d5d/"
"Calling differentially methylated regions from whole genome bisulphite sequencing with DMRcate","DMRcate and RADmeth are the best predictors of differentially methylated regions from whole genome bisulphite sequencing, with DMRcate being the fastest.","Timothy J. Peters, M. Buckley, Yunshun Chen, G. Smyth, C. Goodnow, S. Clark",2021,79,"Whole genome bisulphite sequencing (WGBS) permits the genome-wide study of single molecule methylation patterns. One of the key goals of mammalian cell-type identity studies, in both normal differentiation and disease, is to locate differential methylation patterns across the genome. We discuss the most desirable characteristics for DML (differentially methylated locus) and DMR (differentially methylated region) detection tools in a genome-wide context and choose a set of statistical methods that fully or partially satisfy these considerations to compare for benchmarking. Our data simulation strategy is both biologically informed-employing distribution parameters derived from large-scale consortium datasets-and thorough. We report DML detection ability with respect to coverage, group methylation difference, sample size, variability and covariate size, both marginally and jointly, and exhaustively with respect to parameter combination. We also benchmark these methods on FDR control and computational time. We use this result to backend and introduce an expanded version of DMRcate: an existing DMR detection tool for microarray data that we have extended to now call DMRs from WGBS data. We compare DMRcate to a set of alternative DMR callers using a similarly realistic simulation strategy. We find DMRcate and RADmeth are the best predictors of DMRs, and conclusively find DMRcate the fastest.

© The Author(s) 2021. Published by Oxford University Press on behalf of Nucleic Acids Research.","theoretical, modeling, or simulation study","Nucleic Acids Research","1","10.1093/nar/gkab637","https://consensus.app/papers/calling-differentially-methylated-regions-from-whole-peters-buckley/15a5bbe847a65ede920ca4fda6dc809c/"
"Detection of differentially methylated regions from whole-genome bisulfite sequencing data without replicates","DSS-single is a statistical method that accurately detects differentially methylated regions in whole-genome bisulfite sequencing data without replicates, yielding more biologically meaningful results.","Hao Wu, Tianlei Xu, H. Feng, Li Chen, Ben Li, Bing Yao, Zhaohui S. Qin, P. Jin, K. Conneely",2015,333,"DNA methylation is an important epigenetic modification involved in many biological processes and diseases. Recent developments in whole genome bisulfite sequencing (WGBS) technology have enabled genome-wide measurements of DNA methylation at single base pair resolution. Many experiments have been conducted to compare DNA methylation profiles under different biological contexts, with the goal of identifying differentially methylated regions (DMRs). Due to the high cost of WGBS experiments, many studies are still conducted without biological replicates. Methods and tools available for analyzing such data are very limited.We develop a statistical method, DSS-single, for detecting DMRs from WGBS data without replicates. We characterize the count data using a rigorous model that accounts for the spatial correlation of methylation levels, sequence depth and biological variation. We demonstrate that using information from neighboring CG sites, biological variation can be estimated accurately even without replicates. DMR detection is then carried out via a Wald test procedure. Simulations demonstrate that DSS-single has greater sensitivity and accuracy than existing methods, and an analysis of H1 versus IMR90 cell lines suggests that it also yields the most biologically meaningful results. DSS-single is implemented in the Bioconductor package DSS.

© The Author(s) 2015. Published by Oxford University Press on behalf of Nucleic Acids Research.","","Nucleic Acids Research","1","10.1093/nar/gkv715","https://consensus.app/papers/detection-of-differentially-methylated-regions-from-wu-xu/a29e9ef5469e51968143686f84ad082c/"
"BS-Seeker2: a versatile aligning pipeline for bisulfite sequencing data","BS-Seeker2 is a versatile pipeline for aligning bisulfite sequencing data and generating DNA methylomes, improving efficiency and accuracy for both WGBS and RRBS data.","Weilong Guo, P. Fiziev, Weihong Yan, Shawn Cokus, Xueguang Sun, Michael Q. Zhang, Pao-Yang Chen, M. Pellegrini",2013,400,"Background: DNA methylation is an important epigenetic modification involved in many biological processes. Bisulfite treatment coupled with high-throughput sequencing provides an effective approach for studying genome-wide DNA methylation at base resolution. Libraries such as whole genome bisulfite sequencing (WGBS) and reduced represented bisulfite sequencing (RRBS) are widely used for generating DNA methylomes, demanding efficient and versatile tools for aligning bisulfite sequencing data.

Results: We have developed BS-Seeker2, an updated version of BS Seeker, as a full pipeline for mapping bisulfite sequencing data and generating DNA methylomes. BS-Seeker2 improves mappability over existing aligners by using local alignment. It can also map reads from RRBS library by building special indexes with improved efficiency and accuracy. Moreover, BS-Seeker2 provides additional function for filtering out reads with incomplete bisulfite conversion, which is useful in minimizing the overestimation of DNA methylation levels. We also defined CGmap and ATCGmap file formats for full representations of DNA methylomes, as part of the outputs of BS-Seeker2 pipeline together with BAM and WIG files.

Conclusions: Our evaluations on the performance show that BS-Seeker2 works efficiently and accurately for both WGBS data and RRBS data. BS-Seeker2 is freely available at http://pellegrini.mcdb.ucla.edu/BS_Seeker2/ and the Galaxy server.","other","BMC Genomics","1","10.1186/1471-2164-14-774","https://consensus.app/papers/bsseeker2-a-versatile-aligning-pipeline-for-bisulfite-guo-fiziev/1cc55ccc8c3b52de9197d06bca0c830c/"
